идентификатор ZINC	название	SMILES формула	мол. вес, г/моль	LogP	брутто-формула	число колец	число тяжелых атомов	число гетероатомов	pH	заряд	число доноров H-связи	число акцепторов H-связи	площадь полярной поверхности, кв. А	число вращающихся связей
ZINC000003960338	Rozerem	CCC(=O)NCC[C@@H]1CCc2ccc3c(c21)CCO3	259.349	2.568	C16H21NO2	3	19	3	Reference	0	1	2	38	4
ZINC000000025958	Rucaparib	CNCc1ccc(-c2[nH]c3cc(F)cc4c3c2CCNC4=O)cc1	323.371	2.979	C19H18FN3O	4	24	5	Reference	1	3	1	61	3
ZINC000000538328	Rufloxacin	CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn4c3c2SCC4)CC1	363.414	1.696	C17H18FN3O3S	4	25	8	Reference	-1	0	7	68	2
ZINC000000598829	Rupatadine	Cc1cncc(CN2CCC(=C3c4ccc(Cl)cc4CCc4cccnc43)CC2)c1	415.968	5.635	C26H26ClN3	5	30	4	Reference	0	0	3	29	2
ZINC000000898237	Rutaecarpine	O=c1c2ccccc2nc2n1CCc1c-2[nH]c2ccccc12	287.322	3.101	C18H13N3O	5	22	4	Reference	0	1	3	50	0
ZINC000004096846	Rut	C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O	610.521	-1.687	C27H30O16	5	43	16						
ZINC000043207851	Ruxolitinib	N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1	306.373	3.466	C17H18N6	4	23	6	Reference	0	1	5	83	4
ZINC000001530760	Rythmol	CCCNC[C@@H](O)COc1ccccc1C(=O)CCc1ccccc1	341.451	3.241	C21H27NO3	2	25	4	Reference	1	2	3	63	11
ZINC000001530759	Rythmol	CCCNC[C@H](O)COc1ccccc1C(=O)CCc1ccccc1	341.451	3.241	C21H27NO3	2	25	4	Reference	1	2	3	63	11
ZINC000000005608	S20098	COc1ccc2cccc(CCNC(C)=O)c2c1	243.306	2.527	C15H17NO2	2	18	3	Reference	0	1	2	38	4
ZINC000100051400	S-4&#39;-Hydroxywarfarin	CC(=O)C[C@@H](c1ccc(O)cc1)c1c(O)oc2ccccc2c1=O	324.332	3.315	C19H16O5	3	24	5	Reference	-1	1	5	90	4
ZINC000100051398	S-6-Hydroxywarfarin	CC(=O)C[C@@H](c1ccccc1)c1c(O)oc2ccc(O)cc2c1=O	324.332	3.315	C19H16O5	3	24	5	Reference	-1	1	5	90	4
ZINC000003798750	Sabril	C=C[C@@H](N)CCC(=O)O	129.159	0.365	C6H11NO2	0	9	3	Reference	0	1	2	67	4
ZINC000000403618	Sabril	C=C[C@H](N)CCC(=O)O	129.159	0.365	C6H11NO2	0	9	3	Reference	0	1	2	67	4
ZINC000003792417	Sacubitril	CCOC(=O)[C@H](C)C[C@@H](Cc1ccc(-c2ccccc2)cc1)NC(=O)CCC(=O)O	411.498	3.835	C24H29NO5	2	30	6	Reference	-1	1	5	95	11
ZINC000004228231	S-Adenosyl-L-Methionine	C[S@+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O	399.453	-1.922	C15H23N6O5S+	3	27	12	Reference	1	4	10	187	7
ZINC000004214738	S-Adenosyl-L-Methionine	C[S@@+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O	399.453	-1.922	C15H23N6O5S+	3	27	12	Reference	1	4	10	187	7
ZINC000053084692	Safinamide	C[C@H](NCc1ccc(OCc2cccc(F)c2)cc1)C(N)=O	302.349	2.368	C17H19FN2O2	2	22	5	Reference	1	2	2	68	7
ZINC000004228232	Sah	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O	384.418	-1.437	C14H20N6O5S	3	26	12	Reference	0	4	11	187	7
ZINC000000020230	Salbutamol	CC(C)(C)NC[C@@H](O)c1ccc(O)c(CO)c1	239.315	1.306	C13H21NO3	1	17	4	Reference	1	4	3	77	4
ZINC000000007601	Salbutamol	CC(C)(C)NC[C@H](O)c1ccc(O)c(CO)c1	239.315	1.306	C13H21NO3	1	17	4	Reference	1	4	3	77	4
ZINC000022047784	Salbutamol	CC(C)(C)NC[C@@H](O)c1ccc(OS(=O)(=O)O)c(CO)c1	319.379	0.782	C13H21NO6S	1	21	8	Reference	0	3	6	123	6
ZINC000022047789	Salbutamol	CC(C)(C)NC[C@H](O)c1ccc(OS(=O)(=O)O)c(CO)c1	319.379	0.782	C13H21NO6S	1	21	8	Reference	0	3	6	123	6
ZINC000000002055	Salicylamide	NC(=O)c1ccccc1O	137.138	0.491	C7H7NO2	1	10	3	Reference	0	2	2	63	1
ZINC000085540254	Salinomycin	CC[C@@H](C(=O)[C@@H](C)[C@@H](O)[C@H](C)[C@@H]1O[C@@H]([C@@H](CC)C(=O)O)CC[C@@H]1C)[C@H]1O[C@]2(C=C[C@@H](O)[C@]3(CC[C@@](C)([C@H]4CC[C@](O)(CC)[C@H](C)O4)O3)O2)[C@H](C)C[C@@H]1C	751.011	6.188	C42H70O11	5	53	11						
ZINC000003799072	Salmeterol	OCc1cc([C@@H](O)CNCCCCCCOCCCCc2ccccc2)ccc1O	415.574	4.107	C25H37NO4	2	30	5	Reference	1	4	4	86	16
ZINC000003785268	Salmeterol	OCc1cc([C@H](O)CNCCCCCCOCCCCc2ccccc2)ccc1O	415.574	4.107	C25H37NO4	2	30	5	Reference	1	4	4	86	16
ZINC000000002062	Salsalate	O=C(Oc1ccccc1C(=O)O)c1ccccc1O	258.229	2.31	C14H10O5	2	19	5	Reference	-1	1	5	86	3
ZINC000000538658	Samsca	Cc1ccccc1C(=O)Nc1ccc(C(=O)N2CCC[C@@H](O)c3cc(Cl)ccc32)c(C)c1	448.95	5.683	C26H25ClN2O3	4	32	6	Reference	0	2	3	69	3
ZINC000011677376	Saphris	CN1C[C@@H]2c3ccccc3Oc3ccc(Cl)cc3[C@@H]2C1	285.774	4.259	C17H16ClNO	4	20	3	Reference	0	0	2	12	0
ZINC000003919581	Saprisartan	CCc1nc(C2CC2)c(C(N)=O)n1Cc1ccc2oc(-c3ccccc3NS(=O)(=O)C(F)(F)F)c(Br)c2c1	611.44	5.907	C25H22BrF3N4O4S	5	38	13	Reference	-1	1	6	122	8
ZINC000013585233	Sapropterin	C[C@H](O)[C@H](O)[C@H]1CNc2nc(N)[nH]c(=O)c2N1	241.251	-1.7	C9H15N5O3	2	17	8	Reference	0	6	7	136	2
ZINC000003914596	Saquinavir	CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1	670.855	3.092	C38H50N6O5	5	49	11	Reference	1	6	6	167	12
ZINC000169289386	Saralasin	CNCC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H](C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C)C(=O)O)C(C)C)C(C)C	912.063	-2.301	C42H65N13O10	3	65	23						
ZINC000000021067	Sarizotan	Fc1ccc(-c2cncc(CNC[C@H]3CCc4ccccc4O3)c2)cc1	348.421	4.371	C22H21FN2O	4	26	4						
ZINC000003874934	Sarpogrelate	COc1cccc(CCc2ccccc2OC[C@@H](CN(C)C)OC(=O)CCC(=O)O)c1	429.513	3.197	C24H31NO6	2	31	7	Reference	0	1	6	89	13
ZINC000003798720	Sarpogrelate	COc1cccc(CCc2ccccc2OC[C@H](CN(C)C)OC(=O)CCC(=O)O)c1	429.513	3.197	C24H31NO6	2	31	7	Reference	0	1	6	89	13
ZINC000100037885	Saxagliptin	N#C[C@@H]1C[C@@H]2C[C@@H]2N1C(=O)[C@@H](N)C12C[C@@H]3C[C@H](CC(O)(C3)C1)C2	315.417	1.158	C18H25N3O2	6	23	5						
ZINC000100037890	Saxagliptin	N#C[C@@H]1C[C@@H]2C[C@@H]2N1C(=O)[C@@H](N)C12C[C@H]3C[C@@H](CC(O)(C3)C1)C2	315.417	1.158	C18H25N3O2	6	23	5						
ZINC000013648755	Saxagliptin	N#C[C@@H]1C[C@@H]2C[C@@H]2N1C(=O)[C@@H](N)C12C[C@@H]3C[C@@H](CC(O)(C3)C1)C2	315.417	1.158	C18H25N3O2	6	23	5	Reference	1	2	3	91	2
ZINC000001549362	Scv-07	N[C@H](CCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)C(=O)O	333.344	0.472	C16H19N3O5	2	24	8	Reference	-1	3	5	152	8
ZINC000000120319	Sda	Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1	250.283	0.86	C10H10N4O2S	2	17	7	Reference	-1	1	5	100	3
ZINC000012503087	Sec-Butyl	C=CCC1([C@@H](C)CC)C(=O)N(C)C(=O)N(C)C1=O	252.314	1.645	C13H20N2O3	1	18	5						
ZINC000012503084	Sec-Butyl	C=CCC1([C@H](C)CC)C(=O)N(C)C(=O)N(C)C1=O	252.314	1.645	C13H20N2O3	1	18	5						
ZINC000000000711	Secnidazole	Cc1ncc([N+](=O)[O-])n1C[C@@H](C)O	185.183	0.481	C7H11N3O3	1	13	6	Reference	0	1	5	81	3
ZINC000001843047	Secnidazole	Cc1ncc([N+](=O)[O-])n1C[C@H](C)O	185.183	0.481	C7H11N3O3	1	13	6	Reference	0	1	5	81	3
ZINC000002005550	Secobarbital	C=CCC1([C@@H](C)CCC)C(=O)NC(=O)NC1=O	238.287	1.351	C12H18N2O3	1	17	5	Reference	0	2	3	75	5
ZINC000003874950	Secobarbital	C=CCC1([C@H](C)CCC)C(=O)NC(=O)NC1=O	238.287	1.351	C12H18N2O3	1	17	5	Reference	0	2	3	75	5
ZINC000019701765	Securinine	O=C1C=C2C=C[C@@H]3C[C@@]2(O1)[C@H]1CCCCN31	217.268	1.405	C13H15NO2	4	16	3	Reference	1	1	2	30	0
ZINC000100037020	See	CN1[C@H]2C[C@H](OC(=O)[C@H](CO)c3ccccc3)C[C@@H]1[C@H]1O[C@@H]21	303.358	0.918	C17H21NO4	4	22	5	Reference	0	1	5	62	4
ZINC000019632633	Selegiline	C#CCN(C)[C@H](C)Cc1ccccc1	187.286	2.183	C13H17N	1	14	1	Reference	1	1	0	4	4
ZINC000003990451	Selexipag	CC(C)N(CCCCOCC(=O)NS(C)(=O)=O)c1cnc(-c2ccccc2)c(-c2ccccc2)n1	496.633	3.898	C26H32N4O4S	3	35	9	Reference	-1	0	7	103	12
ZINC000012410091	Semaxanib	Cc1cc(C)c(/C=C2\C(=O)Nc3ccccc32)[nH]1	238.29	3.124	C15H14N2O	3	18	3	Reference	0	2	1	44	1
ZINC000095615286	Senktide	CSCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)CNC(=O)[C@H](Cc1ccccc1)N(C)C(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(=O)O)NC(=O)CCC(=O)O)C(N)=O	841.985	-0.022	C40H55N7O11S	2	59	19	Reference	-2	6	12	289	26
ZINC000001532179	Sensible	CCCCCCCCCCCCOS(=O)(=O)O	266.403	3.727	C12H26O4S	0	17	5	Reference	-1	0	4	66	12
ZINC000000004531	Seproxetine	NCC[C@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1	295.304	4.174	C16H16F3NO	2	21	5	Reference	1	1	1	36	5
ZINC000008437239	Seratrodast	CC1=C(C)C(=O)C([C@@H](CCCCCC(=O)O)c2ccccc2)=C(C)C1=O	354.446	4.61	C22H26O4	2	26	4	Reference	-1	0	4	74	8
ZINC000036190184	Seratrodast	CC1=C(C)C(=O)C([C@H](CCCCCC(=O)O)c2ccccc2)=C(C)C1=O	354.446	4.61	C22H26O4	2	26	4	Reference	-1	0	4	74	8
ZINC000019632628	Seroquel	OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1	383.517	2.856	C21H25N3O2S	4	27	6	Reference	0	1	6	48	5
ZINC000000057058	Serotonin	NCCc1c[nH]c2ccc(O)cc12	176.219	1.375	C10H12N2O	2	13	3	Reference	1	3	1	63	2
ZINC000000606383	Sertaconazole	Clc1ccc([C@@H](Cn2ccnc2)OCc2csc3c(Cl)cccc23)c(Cl)c1	437.779	7.016	C20H15Cl3N2OS	4	27	7	Reference	0	0	4	27	6
ZINC000002016037	Sertaconazole	Clc1ccc([C@H](Cn2ccnc2)OCc2csc3c(Cl)cccc23)c(Cl)c1	437.779	7.016	C20H15Cl3N2OS	4	27	7	Reference	0	0	4	27	6
ZINC000000538337	Sertindole	O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1	440.95	4.628	C24H26ClFN4O	5	31	7	Reference	1	2	2	41	5
ZINC000001853550	Sertraline	CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21	306.236	5.18	C17H17Cl2N	3	20	3	Reference	1	1	0	16	2
ZINC000001482169	Setiptiline	CN1CCC2=C(C1)c1ccccc1Cc1ccccc12	261.368	3.837	C19H19N	4	20	1	Reference	1	1	0	4	0
ZINC000002040854	Sevitin	NCCC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)O	226.236	-1.13	C9H14N4O3	1	16	7	Reference	0	3	4	125	6
ZINC000003870515	S-Gi	OC[C@@H]1NC[C@@H](O)[C@@H](O)[C@@H]1O	163.173	-2.967	C6H13NO4	1	11	5	Reference	1	5	4	97	1
ZINC000003870514	S-Gi	OC[C@@H]1NC[C@H](O)[C@@H](O)[C@@H]1O	163.173	-2.967	C6H13NO4	1	11	5	Reference	1	5	4	97	1
ZINC000003995890	S-Gi	OC[C@H]1NC[C@@H](O)[C@@H](O)[C@@H]1O	163.173	-2.967	C6H13NO4	1	11	5	Reference	1	5	4	97	1
ZINC000003794714	S-Gi	OC[C@H]1NC[C@H](O)[C@@H](O)[C@@H]1O	163.173	-2.967	C6H13NO4	1	11	5	Reference	1	5	4	97	1
ZINC000001543873	Shh	O=C(CCCCCCC(=O)Nc1ccccc1)NO	264.325	2.471	C14H20N2O3	1	19	5	Reference	0	3	3	78	8
ZINC000036268680	Sibenadet	O=c1[nH]c2c(O)ccc(CCNCCS(=O)(=O)CCCOCCc3ccccc3)c2s1	464.609	2.492	C22H28N2O5S2	3	31	9	Reference	0	2	6	115	13
ZINC000000004759	Sibutramine	CC(C)C[C@@H](N(C)C)C1(c2ccc(Cl)cc2)CCC1	279.855	4.738	C17H26ClN	2	19	2	Reference	1	1	0	4	5
ZINC000000531272	Sibutramine	CC(C)C[C@H](N(C)C)C1(c2ccc(Cl)cc2)CCC1	279.855	4.738	C17H26ClN	2	19	2	Reference	1	1	0	4	5
ZINC000019796168	Sildenafil	CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12	474.587	1.611	C22H30N6O4S	4	33	11	Reference	0	1	8	113	7
ZINC000003915645	Simendan	C[C@@H]1CC(=O)NN=C1c1ccc(NN=C(C#N)C#N)cc1	280.291	1.362	C14H12N6O	2	21	7	Reference	0	2	6	113	3
ZINC000003780893	Simvastatin	CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21	418.574	4.586	C25H38O5	3	30	5	Reference	0	1	5	72	6
ZINC000100015192	Sintrom	CC(=O)C[C@@H](c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O	353.33	3.518	C19H15NO6	3	26	7	Reference	-1	0	6	113	5
ZINC000100015190	Sintrom	CC(=O)C[C@H](c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O	353.33	3.518	C19H15NO6	3	26	7	Reference	-1	0	6	113	5
ZINC000001489478	Sitagliptin	N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F	407.318	2.016	C16H15F6N5O	3	28	12	Reference	1	1	4	78	4
ZINC000001481831	Sitaxentan	Cc1cc2c(cc1CC(=O)c1sccc1S(=O)(=O)Nc1onc(C)c1Cl)OCO2	454.913	3.961	C18H15ClN2O6S2	4	29	11	Reference	-1	0	8	109	6
ZINC000021298097	Sivelestat	CC(C)(C)C(=O)Oc1ccc(S(=O)(=O)Nc2ccccc2C(=O)NCC(=O)O)cc1	434.47	2.253	C20H22N2O7S	2	30	10	Reference	-2	1	7	143	7
ZINC000000897322	Skelaxin	Cc1cc(C)cc(OC[C@@H]2CNC(=O)O2)c1	221.256	1.791	C12H15NO3	2	16	4	Reference	0	1	3	47	3
ZINC000000000471	Skelaxin	Cc1cc(C)cc(OC[C@H]2CNC(=O)O2)c1	221.256	1.791	C12H15NO3	2	16	4	Reference	0	1	3	47	3
ZINC000001532729	Sla	O=C(O)CCCC[C@H]1CCSS1	206.332	2.785	C8H14O2S2	1	12	4	Reference	-1	0	4	40	5
ZINC000100054828	S-Methylazathioprine	Cn1cnc([N+](=O)[O-])c1[S@+](C)c1ncnc2[nH]cnc12	292.304	0.661	C10H10N7O2S+	3	20	10						
ZINC000100054826	S-Methylazathioprine	Cn1cnc([N+](=O)[O-])c1[S@@+](C)c1ncnc2[nH]cnc12	292.304	0.661	C10H10N7O2S+	3	20	10						
ZINC000000896938	(s-Mhd)	NC(=O)N1c2ccccc2C[C@H](O)c2ccccc21	254.289	2.493	C15H14N2O2	3	19	4	Reference	0	2	2	66	0
ZINC000004099013	Sn-38	CCc1c2c(nc3ccc(O)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC	392.411	2.348	C22H20N2O5	5	29	7	Reference	0	2	7	101	2
ZINC000004099104	Sn38	CCc1c2c(nc3ccc(O[C@@H]4O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]4O)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC	568.535	-0.087	C28H28N2O11	6	41	13	Reference	-1	4	13	200	5
ZINC000003830896	Sn-Gro-1-P	O=P(O)(O)OC[C@H](O)CO	172.073	-1.551	C3H9O6P	0	10	7	Reference	-1	2	6	112	4
ZINC000003831462	Sofalcone	CC(C)=CCOc1ccc(/C=C/C(=O)c2ccc(OCC=C(C)C)cc2OCC(=O)O)cc1	450.531	5.736	C27H30O6	2	33	6	Reference	-1	0	6	84	12
ZINC000100074252	Sofosbuvir	CC(C)OC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@](C)(F)[C@@H]1O)Oc1ccccc1	529.458	1.657	C22H29FN3O9P	3	36	14	Reference	0	3	10	158	10
ZINC000003936683	Solifenacin	O=C(O[C@H]1CN2CCC1CC2)N1CCc2ccccc2[C@@H]1c1ccccc1	362.473	3.865	C23H26N2O2	6	27	4	Reference	1	1	2	33	2
ZINC000001530950	Soma	CCC[C@@](C)(COC(N)=O)COC(=O)NC(C)C	260.334	2.023	C12H24N2O4	0	18	6	Reference	0	2	4	90	7
ZINC000001530951	Soma	CCC[C@](C)(COC(N)=O)COC(=O)NC(C)C	260.334	2.023	C12H24N2O4	0	18	6	Reference	0	2	4	90	7
ZINC000000006300	Sonata	CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1	305.341	2.641	C17H15N5O	3	23	6	Reference	0	0	5	74	3
ZINC000001493878	Sorafenib	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1	464.831	5.55	C21H16ClF3N4O3	3	32	11	Reference	0	3	4	92	5
ZINC000003817152	Sorafenib	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)cc[n+]1[O-]	480.83	4.788	C21H16ClF3N4O4	3	33	12	Reference	0	3	4	106	5
ZINC000077313075	Sorafenib	CNC(=O)c1cc(Oc2ccc(NC(=O)N(c3ccc(Cl)c(C(F)(F)F)c3)[C@@H]3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)cc2)ccn1	640.955	2.836	C27H24ClF3N4O9	4	44	17	Reference	-1	5	10	193	7
ZINC000018279893	Sorbit	OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO	182.172	-3.585	C6H14O6	0	12	6						
ZINC000012496045	Soriatane	COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C\C(=O)O)c(C)c1C	326.436	5.167	C21H26O3	1	24	3	Reference	-1	0	3	49	6
ZINC000000004166	Sotalol	CC(C)NC[C@@H](O)c1ccc(NS(C)(=O)=O)cc1	272.37	1.09	C12H20N2O3S	1	18	6	Reference	1	3	3	83	6
ZINC000000896819	Sotalol	CC(C)NC[C@H](O)c1ccc(NS(C)(=O)=O)cc1	272.37	1.09	C12H20N2O3S	1	18	6	Reference	1	3	3	83	6
ZINC000002504638	Spaglumic	CC(=O)N[C@@H](CC(=O)N[C@@H](CCC(=O)O)C(=O)O)C(=O)O	304.255	-1.6	C11H16N2O8	0	21	10	Reference	-3	2	8	178	9
ZINC000000538362	Sparfloxacin	C[C@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@@H](C)N1	392.406	2.082	C19H22F2N4O3	4	28	9	Reference	0	2	6	107	3
ZINC000053006806	Spectinomycin	CN[C@H]1[C@@H](O)[C@@H](NC)[C@H](O)[C@H]2O[C@@H]3O[C@H](C)CC(=O)[C@]3(O)O[C@H]12	332.353	-2.926	C14H24N2O7	3	23	9	Reference	1	5	8	134	2
ZINC000001532734	Spermine	NCCCNCCCCNCCCN	202.346	-0.357	C10H26N4	0	14	4	Reference	4	4	0	88	11
ZINC000085537011	Spinosyn	CC[C@H]1CCC[C@H](O[C@H]2CC[C@H](N(C)C)[C@@H](C)O2)[C@@H](C)C(=O)C2=C[C@H]3[C@@H]4C[C@H](O[C@@H]5O[C@@H](C)[C@H](OC)[C@@H](OC)[C@H]5OC)C[C@H]4C(C)=C[C@H]3[C@@H]2CC(=O)O1	745.995	5.878	C42H67NO10	6	53	11						
ZINC000004217459	Spirapril	CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)O)SCCS2	466.625	2.391	C22H30N2O5S2	3	31	9	Reference	-1	1	8	98	9
ZINC000012503291	Spiriva	C[N+]1(C)[C@H]2CC(OC(=O)C(O)(c3cccs3)c3cccs3)C[C@@H]1[C@@H]1O[C@@H]12	392.522	2.346	C19H22NO4S2+	5	26	7	Reference	1	1	6	59	4
ZINC000003986735	Sprycel	Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1	488.017	3.314	C22H26ClN7O2S	4	33	11	Reference	0	3	9	106	7
ZINC000026664090	Sqv	CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1	670.855	3.092	C38H50N6O5	5	49	11	Reference	1	6	6	167	12
ZINC000026985532	Sqv	CC(C)(C)NC(=O)[C@@H]1C[C@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1	670.855	3.092	C38H50N6O5	5	49	11	Reference	1	6	6	167	12
ZINC000029416466	Sqv	CC(C)(C)NC(=O)[C@@H]1C[C@H]2CCCC[C@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1	670.855	3.092	C38H50N6O5	5	49	11	Reference	1	6	6	167	12
ZINC000008214519	Ssd	CCCCCCCCCCCCCCCCO	242.447	5.46	C16H34O	0	17	1	Reference	0	1	1	20	14
ZINC000000009689	Starlix	CC(C)C1CCC(C(=O)N[C@H](Cc2ccccc2)C(=O)O)CC1	317.429	3.261	C19H27NO3	2	23	4	Reference	-1	1	3	69	6
ZINC000000137884	Stavudine	Cc1cn([C@H]2C=C[C@@H](CO)O2)c(=O)[nH]c1=O	224.216	-0.709	C10H12N2O4	2	16	6	Reference	0	2	5	84	2
ZINC000006845654	S.t.d.	CCCCCCCCCCCCCCOS(=O)(=O)O	294.457	4.507	C14H30O4S	0	19	5	Reference	-1	0	4	66	14
ZINC000004978673	Stearate	CCCCCCCCCCCCCCCCCC(=O)O	284.484	6.333	C18H36O2	0	20	2	Reference	-1	0	2	40	16
ZINC000011677857	Stendra	COc1ccc(CNc2nc(N3CCC[C@H]3CO)ncc2/C(O)=N/Cc2ncccn2)cc1Cl	483.96	3.007	C23H26ClN7O3	4	34	11	Reference	0	3	9	125	9
ZINC000001846080	Stepronin	C[C@@H](SC(=O)c1cccs1)C(=O)NCC(=O)O	273.335	1.211	C10H11NO4S2	1	17	7	Reference	-1	1	6	86	5
ZINC000001846079	Stepronin	C[C@H](SC(=O)c1cccs1)C(=O)NCC(=O)O	273.335	1.211	C10H11NO4S2	1	17	7	Reference	-1	1	6	86	5
ZINC000004096712	Stigmasterin	CC[C@H](/C=C/[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C)C(C)C	412.702	7.801	C29H48O	4	30	1	Reference	0	1	1	20	5
ZINC000000000724	Stiripentol	CC(C)(C)[C@@H](O)/C=C/c1ccc2c(c1)OCO2	234.295	2.836	C14H18O3	2	17	3	Reference	0	1	3	38	2
ZINC000002005958	Stiripentol	CC(C)(C)[C@H](O)/C=C/c1ccc2c(c1)OCO2	234.295	2.836	C14H18O3	2	17	3	Reference	0	1	3	38	2
ZINC000006745272	Stivarga	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)c(F)c2)ccn1	482.821	5.689	C21H15ClF4N4O3	3	33	12	Reference	0	3	4	92	5
ZINC000008214681	Streptomycin	CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@@H]3[C@@H](NC(=N)N)[C@H](O)[C@@H](NC(=N)N)[C@H](O)[C@H]3O)O[C@@H](C)[C@]2(O)C=O)O[C@@H](CO)[C@H](O)[C@H]1O	581.58	-7.742	C21H39N7O12	3	40	19						
ZINC000000119434	Strychnine	O=C1C[C@@H]2OCC=C3CN4CC[C@]56c7ccccc7N1[C@H]5[C@H]2[C@H]3C[C@H]46	334.419	2.093	C21H22N2O2	7	25	4	Reference	1	1	2	33	0
ZINC000000895030	Succinate	O=C(O)CCC(=O)O	118.088	-0.064	C4H6O4	0	8	4	Reference	-2	0	4	80	3
ZINC000000538386	Sufentanil	CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1	386.561	4.215	C22H30N2O2S	3	27	5	Reference	1	1	3	33	8
ZINC000004217475	Sugar	OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O	342.297	-5.396	C12H22O11	2	23	11						
ZINC000019632706	Sular	COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)[C@@H]1c1ccccc1[N+](=O)[O-]	388.42	3.202	C20H24N2O6	2	28	8	Reference	0	1	7	107	6
ZINC000000591993	Sular	COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)[C@H]1c1ccccc1[N+](=O)[O-]	388.42	3.202	C20H24N2O6	2	28	8	Reference	0	1	7	107	6
